74,105;266,111;476,97;63,225;273,246;455,241;48,324;286,359;461,375;
72,103;267,106;479,96;66,224;271,248;456,242;44,324;287,360;460,375;
73,106;267,109;482,95;61,226;273,247;458,242;45,327;285,361;464,377;
70,102;267,106;485,92;56,223;270,245;456,238;45,326;285,359;463,375;
71,100;268,106;480,93;60,223;269,244;457,241;45,323;285,360;463,376;
144,128;280,130;427,121;141,208;284,224;410,219;128,277;292,300;411,312;
145,128;281,132;432,123;141,213;286,226;414,223;130,279;296,302;416,313;
65,96;189,101;337,88;56,177;194,191;316,187;46,243;203,264;319,276;
233,95;368,100;517,92;225,177;374,194;497,191;213,248;381,271;500,281;
234,99;369,104;520,94;228,183;373,198;499,196;214,252;384,276;501,287;
224,159;363,164;510,155;217,246;367,259;498,263;206,317;375,340;496,353;
222,154;361,160;508,151;218,242;363,257;491,252;207,310;374,332;495,344;
55,182;184,186;332,174;52,264;190,281;314,277;40,329;198,358;314,364;
55,179;184,185;332,175;53,262;187,278;312,276;41,331;198,354;314,364;
260,91;359,95;466,92;258,151;361,162;454,162;247,202;368,218;454,228;
258,96;361,99;467,92;253,157;363,169;452,168;246,208;372,224;458,236;
258,101;361,103;468,98;255,160;364,174;456,171;248,213;368,229;455,239;
260,100;359,104;468,98;255,158;361,174;453,170;248,212;369,229;457,240;
45,86;137,88;246,80;40,146;142,153;230,151;34,194;145,211;230,217;
44,89;138,86;246,77;40,147;138,154;233,151;30,193;145,210;233,219;
55,213;149,215;260,207;50,273;154,286;245,281;43,321;161,342;248,350;
57,213;150,214;260,204;49,275;155,285;247,280;43,323;159,341;250,349;
292,213;392,216;500,210;288,277;396,288;486,283;281,329;403,344;488,353;
