780,716;2036,736;3436,632;748,1536;2084,1672;3248,1604;644,2200;2188,2400;3284,2476;
784,720;2044,752;3444,628;748,1536;2092,1668;3268,1612;640,2208;2188,2412;3300,2496;
768,696;2044,728;3456,612;732,1524;2100,1664;3276,1592;644,2204;2184,2404;3308,2492;
768,696;2048,716;3448,604;732,1528;2088,1652;3280,1588;636,2204;2184,2400;3304,2480;
760,704;2044,728;3440,604;724,1520;2088,1660;3264,1596;628,2200;2176,2400;3292,2488;
1276,880;2144,900;3084,820;1256,1444;2176,1536;2964,1488;1200,1892;2236,2028;2976,2076;
1284,888;2152,920;3108,840;1256,1460;2184,1552;2988,1516;1188,1908;2248,2048;3004,2108;
716,660;1564,676;2488,600;696,1212;1600,1308;2376,1264;640,1660;1656,1792;2392,1844;
1840,668;2704,684;3652,604;1812,1228;2732,1324;3536,1288;1756,1688;2796,1828;3548,1880;
1840,684;2716,700;3668,624;1816,1248;2748,1344;3548,1304;1748,1708;2808,1848;3560,1896;
1788,1088;2672,1108;3632,1032;1764,1660;2700,1756;3512,1708;1696,2120;2772,2260;3524,2320;
1792,1068;2652,1084;3624,1004;1764,1636;2692,1728;3492,1684;1708,2088;2748,2224;3496,2272;
688,1244;1536,1260;2460,1200;672,1796;1572,1884;2352,1844;616,2240;1636,2376;2380,2424;
680,1236;1524,1260;2472,1192;652,1800;1564,1896;2352,1852;600,2236;1632,2380;2360,2440;
2016,624;2648,636;3348,576;1992,1032;2664,1104;3248,1072;1944,1372;2712,1468;3252,1508;
1996,664;2652,680;3352,616;1976,1084;2668,1156;3276,1128;1928,1428;2708,1536;3284,1572;
2004,692;2652,700;3348,648;1988,1104;2672,1176;3264,1152;1936,1444;2712,1544;3272,1588;
2000,676;2652,696;3360,632;1984,1100;2668,1176;3256,1140;1932,1440;2708,1540;3264,1584;
592,584;1224,600;1916,544;576,996;1252,1080;1832,1048;532,1332;1292,1432;1836,1480;
576,572;1216,588;1920,548;568,988;1240,1064;1820,1032;508,1336;1280,1436;1828,1480;
688,1432;1316,1456;2016,1404;672,1844;1352,1924;1932,1892;628,2188;1396,2288;1948,2328;
700,1440;1332,1464;2032,1404;684,1860;1368,1928;1940,1892;644,2196;1408,2296;1960,2336;
2232,1448;2876,1464;3572,1404;2220,1860;2896,1928;3484,1888;2168,2196;2940,2296;3484,2332;
